facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
111.0,An Madonna Hospital And Maternity Awka,ElMyEZ6ECq9,7.0,Awka South,4.0,Awka,,,2025-10-07,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
51.0,An Obodootu Primary Health Centre,EoeDzJ1FUKN,4.0,Anambra West,2.0,Omambala,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
51.0,An Obodootu Primary Health Centre,EoeDzJ1FUKN,4.0,Anambra West,2.0,Omambala,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-01,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-02,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-03,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-06,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-07,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-08,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0
201.0,An Ebenesi Nnobi Primary Health Centre,FfgZ5ufqf7n,12.0,Idemili South,6.0,Onitsha,,,2025-10-09,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
238.0,An Akaboezem Phc,GupwPZYcMw1,15.0,Nnewi North,5.0,Nnewi,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
238.0,An Akaboezem Phc,GupwPZYcMw1,15.0,Nnewi North,5.0,Nnewi,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
349.0,An Ogbunka Primary Health Centre,H2vA8qHohf5,21.0,Orumba South,1.0,Aguata,,,2025-10-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
349.0,An Ogbunka Primary Health Centre,H2vA8qHohf5,21.0,Orumba South,1.0,Aguata,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
163.0,An Ihembosi Referral Health Centre,HZV6vjUIOuO,10.0,Ekwusigo,5.0,Nnewi,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
120.0,An Rock Foundation Hospital,Ha1Uxfwnmwq,7.0,Awka South,4.0,Awka,,,2025-10-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
120.0,An Rock Foundation Hospital,Ha1Uxfwnmwq,7.0,Awka South,4.0,Awka,,,2025-10-03,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
