Date,Cluster,LGA,Facility,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),TOTAL TESTING REPORTED ON NEW DPT,TOTAL KITS USAGE REPORTED IN SOH TRACKER,Difference (Used - DHIS2)
2025-10-10,Omambala,Ayamelum,an Omasiagu Primary Health Centre,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-03,Omambala,Anambra West,an Umuikwu Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-04,Onitsha,Idemili North,an Nsukwu Primary Health Centre,3,0,0,0,0,0,0,0,3,0.0,-3.0
2025-10-03,Onitsha,Onitsha South,an St. John Ang Primary Health Centre,0,0,8,0,0,0,0,0,8,0.0,-8.0
2025-10-10,Nnewi,Ekwusigo,an Orifite Referral Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-03,Nnewi,Ihiala,an Lilu Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-10,Nnewi,Ihiala,an Lilu Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-01,Omambala,Anambra East,an Eziaguluotu Primary Health Centre,115,2,0,0,0,0,0,0,117,0.0,-117.0
2025-10-02,Omambala,Anambra East,an Eziaguluotu Primary Health Centre,70,0,0,0,0,0,0,0,70,0.0,-70.0
2025-10-08,Omambala,Anambra East,an Eziaguluotu Primary Health Centre,50,0,0,0,0,0,0,0,50,0.0,-50.0
2025-10-09,Omambala,Anambra East,an Eziaguluotu Primary Health Centre,80,1,0,0,0,0,0,0,81,0.0,-81.0
2025-10-10,Omambala,Anambra East,an Eziaguluotu Primary Health Centre,80,2,0,0,0,0,0,0,82,0.0,-82.0
2025-10-10,Aguata,Orumba South,an Owere Ezukala Primary Health Centre,0,0,8,0,0,0,0,0,8,0.0,-8.0
2025-10-03,Nnewi,Ihiala,an Ogboro Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-01,Omambala,Ayamelum,an Umuawah Health Post,39,0,5,0,10,0,0,0,54,0.0,-54.0
2025-10-03,Omambala,Ayamelum,an Umuawah Health Post,0,0,0,0,10,0,0,0,10,0.0,-10.0
2025-10-06,Omambala,Ayamelum,an Umuawah Health Post,27,0,5,0,10,0,0,0,42,0.0,-42.0
2025-10-07,Omambala,Ayamelum,an Umuawah Health Post,50,0,0,0,10,0,0,0,60,0.0,-60.0
2025-10-08,Omambala,Ayamelum,an Umuawah Health Post,100,1,4,0,60,0,0,0,165,0.0,-165.0
2025-10-09,Omambala,Ayamelum,an Umuawah Health Post,100,1,0,0,50,0,0,0,151,0.0,-151.0
2025-10-10,Omambala,Ayamelum,an Umuawah Health Post,0,100,0,0,40,0,0,0,140,0.0,-140.0
2025-10-10,Awka,Awka North,an Umuogbuefi  PrimaryHealth Center,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-03,Omambala,Anambra West,an Umuezeanam 2 Primary Health Centre,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-10,Omambala,Anambra West,an Umuezeanam 2 Primary Health Centre,0,0,2,0,100,0,0,0,102,0.0,-102.0
2025-10-10,Onitsha,Ogbaru,an Akili Ozizor Primary Health Centre,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-03,Onitsha,Ogbaru,an Atani Primary Health Centre,0,0,5,0,0,0,0,0,5,0.0,-5.0
2025-10-03,Onitsha,Onitsha North,an Holy Spirit Primary Health Centre,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-10,Onitsha,Onitsha North,an Holy Spirit Primary Health Centre,0,0,1,0,0,0,0,0,1,0.0,-1.0
2025-10-01,Awka,Awka South,an Madonna Hospital and Maternity Awka,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-07,Awka,Awka South,an Madonna Hospital and Maternity Awka,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-03,Omambala,Anambra West,an Obodootu Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-10,Omambala,Anambra West,an Obodootu Primary Health Centre,0,0,2,0,0,0,0,0,2,0.0,-2.0
2025-10-01,Onitsha,Idemili South,an Ebenesi Nnobi Primary Health Centre,0,0,5,0,0,0,0,0,5,0.0,-5.0
2025-10-02,Onitsha,Idemili South,an Ebenesi Nnobi Primary Health Centre,0,0,4,0,0,0,0,0,4,0.0,-4.0
2025-10-03,Onitsha,Idemili South,an Ebenesi Nnobi Primary Health Centre,0,0,3,0,0,0,0,0,3,0.0,-3.0
