pe_name,ou,ou_name,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos)
2025-10-07,QqXS3kwHLkP,an Ifite Awkuzu Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-07,Sya1xqHhCCO,an Our Lady of Lourdes Hospital,0,0,2,0,0,0,0,0
2025-10-07,TGJMCAUNXD5,an Bethel Hospital Awada,4,0,2,0,0,0,0,0
2025-10-07,VW6oZN1jKMg,an Lancet Hospital LTD,26,2,0,0,0,0,0,0
2025-10-07,XG0hzB6FVrw,an Eldorado Multispecialist Hospital,0,0,3,0,0,0,0,0
2025-10-07,XsnL6NMMrlI,an Ideani Primary Health Center,10,0,0,0,0,0,0,0
2025-10-07,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,14,0,0,0,0,0
2025-10-07,bVDmQU3reY0,an Patricia Memorial Hospital and Maternity Aka baby,0,0,4,0,0,0,0,0
2025-10-07,d6ugp5puEZ2,an Nteje Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-07,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,89,4
2025-10-07,glt0a9JC4VC,an Achalla Maternal and Child Health Care Centre,6,0,1,0,0,0,0,0
2025-10-07,k4Nw4uCT97V,an Umunya Comprehensive Health Centre,7,1,0,0,20,0,0,0
2025-10-07,kIt9h1ZjQfF,an Amansea Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-07,lOzN4yw4pSh,an Madueke Memorial Hospital and Maternity,6,0,2,0,0,0,0,0
2025-10-07,msr1TOXqZKf,an St Charles Borromeo Hospital,34,0,2,0,0,0,0,0
2025-10-07,p7CKerD8kRp,an Oba Comprehensive Health Centre (Trauma Centre),25,0,0,0,0,0,0,0
2025-10-07,pxYOOPUXmtt,an Obosi St Martin's Hospital,23,0,7,0,0,0,0,0
2025-10-07,s4ZDSr4IBSr,an St. Marks Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-07,uYnfVI0bkyf,an Nkpor Crown Hospital and Maternity,16,0,0,0,0,0,0,0
2025-10-07,wM3b4l8Oesq,an Onitsha General Hospital,7,1,2,0,0,0,0,0
2025-10-07,we90AXVrhUv,an Umueri General Hospital,0,0,0,0,20,0,0,0
2025-10-07,wftHmLIxJmY,an Amichi Diocesan Hospital,3,0,0,0,0,0,0,0
2025-10-07,x8kegIarjSt,an Amansea Health Post,4,0,0,0,0,0,0,0
2025-10-07,yjxtvOYtp5A,an Ukpor General Hospital,26,0,0,0,0,0,0,0
2025-10-08,BkHB5iIj0jE,an Eziaguluotu Primary Health Centre,50,0,0,0,0,0,0,0
2025-10-08,Cj3rwgMDm7q,an Umuawah Health Post,100,1,4,0,60,0,0,0
2025-10-08,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,7,0,0,0,0,0
2025-10-08,HgxxN5GZv8Y,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)",68,1,0,0,45,0,0,0
2025-10-08,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,3,0,0,0,0,0,0,0
2025-10-08,IA64rosyhK1,an Enugu Ukwu General Hospital,4,1,10,0,0,0,0,0
2025-10-08,IX2qlVptNql,an Onitsha Pieta Hospital,0,0,14,0,73,0,0,0
2025-10-08,Lc0UxCUN8HR,an Neni Comprehensive Health Centre NAUTH,1,1,0,0,0,0,0,0
2025-10-08,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,75,0,0,0,0,0,0,0
2025-10-08,MUumX5cjk9g,an Umunze Immaculate Heart Hospital,0,0,0,0,15,0,0,0
2025-10-08,MsWUEiTxyht,an Ogbunike Primary Health Centre,0,0,4,0,0,0,0,0
2025-10-08,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),26,1,3,0,21,0,0,0
2025-10-08,OoBxXYn1eoy,an Nnamdi Azikiwe University Teaching Hospital,15,1,7,0,0,0,0,0
2025-10-08,OxGTCa7PYrK,an Ekwulobia General Hospital,2,1,0,0,0,0,0,0
2025-10-08,P9qUQA6KmAs,an Holy Rosary Hospital,11,0,0,0,35,0,0,0
2025-10-08,Sya1xqHhCCO,an Our Lady of Lourdes Hospital,0,0,0,0,25,0,0,0
2025-10-08,VW6oZN1jKMg,an Lancet Hospital LTD,27,0,0,0,47,0,0,0
2025-10-08,VbYKP326qwm,"an Umubani, Neni Primary Health Center",1,0,0,0,0,0,0,0
2025-10-08,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,2,0,0,0,0,0
2025-10-08,bVDmQU3reY0,an Patricia Memorial Hospital and Maternity Aka baby,0,0,6,0,0,0,0,0
2025-10-08,d6ugp5puEZ2,an Nteje Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-08,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,138,5
2025-10-08,dIgVADaXOoP,an Nnewi Diocesan Hospital,0,0,0,0,65,0,0,0
